id:ID(Document),name,dateCreated,fileFormat,additionalType,description,checksum,originalFileName
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-08-31,Diversity Residency Advisory Committee_Minutes_2022-08-31.docx,2022-08-31,DOCX,Minutes,Minutes document for Diversity Residency Advisory Committee dated 2022-08-31.,51d8a94278d2f3d81a64199d9f0413455773f8c2d070712a2b4284055720190a,Rac-Meeting-Notes-08.31.2022.docx
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-02-01,Diversity Residency Advisory Committee_Minutes_2022-02-01.docx,2022-02-01,DOCX,Minutes,Minutes document for Diversity Residency Advisory Committee dated 2022-02-01.,d605737c49d96604f75fc208fb3e6e944706253a8466d338ecc2f5c6dfafc972,RAC-Meeting-Notes-02.01.23.docx
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-07-18,Diversity Residency Advisory Committee_Minutes_2022-07-18.docx,2022-07-18,DOCX,Minutes,Minutes document for Diversity Residency Advisory Committee dated 2022-07-18.,237579a340e1fe6c7617f21c1d8c81e2f46b4701489497061233a7e2d769bd06,RAC-Meeting-Notes-07.18.22.docx
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-10-26,Diversity Residency Advisory Committee_Minutes_2022-10-26.docx,2022-10-26,DOCX,Minutes,Minutes document for Diversity Residency Advisory Committee dated 2022-10-26.,22ef44bf10bd2a18848d6f38ab037de0d8866976052241658d0993b7a61f00a3,RAC-Meeting-Notes-10.26.2022.docx
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-01-10,Diversity Residency Advisory Committee_Minutes_2022-01-10.docx,2022-01-10,DOCX,Minutes,Minutes document for Diversity Residency Advisory Committee dated 2022-01-10.,3449b428aa2baf04fd9dc18114603d6cd586ec69a664caeff2ad16cf8edda0e1,RAC-Meeting-Notes-01.10.2022.docx
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-03-14,Diversity Residency Advisory Committee_Minutes_2022-03-14.docx,2022-03-14,DOCX,Minutes,Minutes document for Diversity Residency Advisory Committee dated 2022-03-14.,9d48892c63600dceb59ff9c99f3f2889a6d24b0dbfed7b8adff14a967c194abe,RAC-Meeting-Notes-03.14.22.docx
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-11-09,Diversity Residency Advisory Committee_Minutes_2022-11-09.docx,2022-11-09,DOCX,Minutes,Minutes document for Diversity Residency Advisory Committee dated 2022-11-09.,f93307dc248b9bbcc698016844f4b7d4a55da4216e3f5da4e7e19433065aa36b,RAC-Meeting-Notes11.09.2022.docx
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-06-20,Diversity Residency Advisory Committee_Minutes_2022-06-20.docx,2022-06-20,DOCX,Minutes,Minutes document for Diversity Residency Advisory Committee dated 2022-06-20.,715e9a9055ccc9613b25b518c32f5bbb8a686a7b1c640e1a010d2849407b06df,RAC-Meeting-Notes-06-20-2022.docx
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-04-11,Diversity Residency Advisory Committee_Minutes_2022-04-11.docx,2022-04-11,DOCX,Minutes,Minutes document for Diversity Residency Advisory Committee dated 2022-04-11.,6e92a85607e6ffa1487633883503641917836afe47fa18f1a56fe13147989f8a,RAC-Meeting-Notes-04.11.2022.docx
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-02-14,Diversity Residency Advisory Committee_Minutes_2022-02-14.docx,2022-02-14,DOCX,Minutes,Minutes document for Diversity Residency Advisory Committee dated 2022-02-14.,51d1fc7437649f1f5294d5a42459c0d9e409fbe5b947e0e70950a4bbd5e73bcb,RAC-Meeting-Notes-2.14.2022.docx
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-09-14,Diversity Residency Advisory Committee_Minutes_2022-09-14.docx,2022-09-14,DOCX,Minutes,Minutes document for Diversity Residency Advisory Committee dated 2022-09-14.,e024be0074b879f6be8a3a141619be29b5119894e4f1b0de0b8abc21a0ac7f97,RAC-Meeting-Notes-09.14.2022.docx
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-03-28_1,Diversity Residency Advisory Committee_Minutes_2022-03-28_1.docx,unknown,DOCX,Minutes,Minutes document for Diversity Residency Advisory Committee.,0e9902546ca75e7bcace22c995caf052cb5511188bf4d1002783f38066bf710e,Diversity Residency Advisory Committee_Minutes_2022-03-28_1.docx
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-03-28,Diversity Residency Advisory Committee_Minutes_2022-03-28.docx,2022-03-28,DOCX,Minutes,Minutes document for Diversity Residency Advisory Committee dated 2022-03-28.,0e9902546ca75e7bcace22c995caf052cb5511188bf4d1002783f38066bf710e,RAC-Meeting-Notes-03.28.22.docx
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-12-07_1,Diversity Residency Advisory Committee_Minutes_2022-12-07_1.docx,unknown,DOCX,Minutes,Minutes document for Diversity Residency Advisory Committee.,e9f54f952d449fa57233bf874a7851c4bc8ba796b94c80fc512f28bc31ae7532,Diversity Residency Advisory Committee_Minutes_2022-12-07_1.docx
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-02-24,Diversity Residency Advisory Committee_Minutes_2022-02-24.docx,2022-02-24,DOCX,Minutes,Minutes document for Diversity Residency Advisory Committee dated 2022-02-24.,69847a714603a5fbac536ab7a3310671b1e3c38e476268e9a4945195a5fa5ed3,RAC-Meeting-Notes-02.24.2022.docx
Academic Professional Promotion Implementation Team__Minutes__Academic Professional Promotion Implementation Team_Minutes_2017-02-17,Academic Professional Promotion Implementation Team_Minutes_2017-02-17.docx,2017-02-17,DOCX,Minutes,Minutes document for Academic Professional Promotion Implementation Team dated 2017-02-17.,3730532161d5badddaf2ca00e708a8a5a95b7f48617cee664fd292799bcaa562,Academic_Professional_Promotion_Implementation_Team_minutes_2017_02_17.docx
Academic Professional Promotion Implementation Team__Minutes__Academic Professional Promotion Implementation Team_Minutes_2017-06-15,Academic Professional Promotion Implementation Team_Minutes_2017-06-15.docx,2017-06-15,DOCX,Minutes,Minutes document for Academic Professional Promotion Implementation Team dated 2017-06-15.,75ce3eb74a64c6a55049719f5193a21845699ccefaf8cf831bd58786770ae7ce,Academic_Professional_Promotion_Implementation_Team_minutes_2017_06_15.docx
Academic Professional Promotion Implementation Team__Minutes__Academic Professional Promotion Implementation Team_Minutes_2017-02-28,Academic Professional Promotion Implementation Team_Minutes_2017-02-28.docx,2017-02-28,DOCX,Minutes,Minutes document for Academic Professional Promotion Implementation Team dated 2017-02-28.,dbb60615ddb29133a93efadd97ea57a012e98b538988a444f42e5db3800fc905,Academic_Professional_Promotion_Implementation_Team_minutes_2017_02_28.docx
Academic Professional Promotion Implementation Team__Minutes__Academic Professional Promotion Implementation Team_Minutes_2017-03-29,Academic Professional Promotion Implementation Team_Minutes_2017-03-29.docx,2017-03-29,DOCX,Minutes,Minutes document for Academic Professional Promotion Implementation Team dated 2017-03-29.,da5c31d1e46d5468e1a5de4c590c7494e5750660bae409ec484caf2954d248ae,Academic_Professional_Promotion_Implementation_Team_minutes_2017_03_29.docx
Academic Professional Promotion Implementation Team__Minutes__Academic Professional Promotion Implementation Team_Minutes_2017-03-28,Academic Professional Promotion Implementation Team_Minutes_2017-03-28.docx,2017-03-28,DOCX,Minutes,Minutes document for Academic Professional Promotion Implementation Team dated 2017-03-28.,4ad39c747f2ef3485c7d367f41e734230aaabe491d50f7180adcc3e2f2f7cf06,Academic_Professional_Promotion_Implementation_Team_minutes_2017_03_28.docx
Academic Professional Promotion Implementation Team__Minutes__Academic Professional Promotion Implementation Team_Minutes_2017-05-10,Academic Professional Promotion Implementation Team_Minutes_2017-05-10.docx,2017-05-10,DOCX,Minutes,Minutes document for Academic Professional Promotion Implementation Team dated 2017-05-10.,5386568f384b57bfc09cd2febb9002e352076101ccc23a2ad7c12e97334670e2,Academic_Professional_Promotion_Implementation_Team_minutes_2017_05_10.docx
Academic Professional Promotion Implementation Team__Agendas__Academic Professional Promotion Implementation Team_Agendas_2017-02-17,Academic Professional Promotion Implementation Team_Agendas_2017-02-17.docx,2017-02-17,DOCX,Agendas,Agendas document for Academic Professional Promotion Implementation Team dated 2017-02-17.,bf0a64a299db2c3a8ed8abcb22258ee0063dbcc9263e614becdaadff0976bf33,Academic_Professional_Promotion_Implementation_Team_agenda_2017_02_17.docx
Academic Professional Promotion Implementation Team__Agendas__Academic Professional Promotion Implementation Team_Agendas_2017-03-28,Academic Professional Promotion Implementation Team_Agendas_2017-03-28.docx,2017-03-28,DOCX,Agendas,Agendas document for Academic Professional Promotion Implementation Team dated 2017-03-28.,e4e1f1a69898d452f06593ee82c4c967dfd2416a556735ac29114fae599b8cb3,Academic_Professional_Promotion_Implementation_Team_agenda_2017_03_28.docx
Academic Professional Promotion Implementation Team__Agendas__Academic Professional Promotion Implementation Team_Agendas_2017-03-29,Academic Professional Promotion Implementation Team_Agendas_2017-03-29.docx,2017-03-29,DOCX,Agendas,Agendas document for Academic Professional Promotion Implementation Team dated 2017-03-29.,d627a99e84b3aebe56a7f4f8f47a5021e7c4682a61c7c1784417ce9e6743bf68,Academic_Professional_Promotion_Implementation_Team_agenda_2017_03_29.docx
Content Access Policy & Technology (CAPT)__Related Documents__IT_Happenings_at_Campus,IT_Happenings_at_Campus.ppt,unknown,PPT,Related Documents,Related Documents document for Content Access Policy & Technology (CAPT).,85720d20b76807a4ec388ac2a635698c801183a094f1cfa373a1444c611dd10d,IT_Happenings_at_Campus.ppt
Content Access Policy & Technology (CAPT)__Related Documents__Discovery_Study_Group_rev,Discovery_Study_Group_rev.doc,unknown,DOC,Related Documents,Related Documents document for Content Access Policy & Technology (CAPT).,1894ba37ef4eee5d3cca112d5016d7d703a45413d200bf8021a5c972bc931ad6,Discovery_Study_Group_rev.doc
Content Access Policy & Technology (CAPT)__Related Documents__Proposed Policy on Custom Templates for the Library CMS,Proposed Policy on Custom Templates for the Library CMS.docx,unknown,DOCX,Related Documents,Related Documents document for Content Access Policy & Technology (CAPT).,eda54c4151acf1089e9254a47dfe025a737465ed7e50535c02df735cdd3d5477,Proposed Policy on Custom Templates for the Library CMS.docx
Content Access Policy & Technology (CAPT)__Related Documents__Phase2ActionPlan,Phase2ActionPlan.pdf,unknown,PDF,Related Documents,Related Documents document for Content Access Policy & Technology (CAPT).,b5d1f2141c0989c90340d62ab45bbded1311b811e768ac4c784a3ecf4ee0949a,Phase2ActionPlan.pdf
Content Access Policy & Technology (CAPT)__Related Documents__Summary_of_Primo_Implementation_for_CAPT_Meeting,Summary_of_Primo_Implementation_for_CAPT_Meeting.doc,unknown,DOC,Related Documents,Related Documents document for Content Access Policy & Technology (CAPT).,e38c68e632379bae05e12209912db30366a2ab556233a2129a28a9d01c3589f1,Summary_of_Primo_Implementation_for_CAPT_Meeting.doc
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2013-05-28,Content Access Policy & Technology (CAPT)_Minutes_2013-05-28.docx,2013-05-28,DOCX,Minutes,Minutes document for Content Access Policy & Technology (CAPT) dated 2013-05-28.,27b826594241078969f08277d3e9d33b3ee218f4e25b06172acbd2e1006edada,capt_agenda_minutes_2013_05_28.docx
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2014-04-02,Content Access Policy & Technology (CAPT)_Minutes_2014-04-02.docx,2014-04-02,DOCX,Minutes,Minutes document for Content Access Policy & Technology (CAPT) dated 2014-04-02.,97054173945dc336a34fef494753a61090486c26a2d355f2cfe64c23a2765b11,capt_minutes_2014_04_02.docx
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2017-07-27,Content Access Policy & Technology (CAPT)_Minutes_2017-07-27.pdf,2017-07-27,PDF,Minutes,Minutes document for Content Access Policy & Technology (CAPT) dated 2017-07-27.,80fed27d204124a6cf6bfe018fc7470722cb81f951645057883f6f63efac2b49,Capt_minutes_2017_07_27.pdf
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2013-06-25_1,Content Access Policy & Technology (CAPT)_Minutes_2013-06-25_1.docx,unknown,DOCX,Minutes,Minutes document for Content Access Policy & Technology (CAPT).,4a62e570ba8e90f15b691ee330da3f6e31411056efdb666cdc9b74ab80d132c1,Content Access Policy & Technology (CAPT)_Minutes_2013-06-25_1.docx
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2019-07-25,Content Access Policy & Technology (CAPT)_Minutes_2019-07-25.docx,2019-07-25,DOCX,Minutes,Minutes document for Content Access Policy & Technology (CAPT) dated 2019-07-25.,dd6ccbaef4ce12f55321ae03fe9e75c5905207293c86249e86ec7887f9f0b398,Capt_minutes_2019_07_25.docx
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2013-12-17,Content Access Policy & Technology (CAPT)_Minutes_2013-12-17.docx,2013-12-17,DOCX,Minutes,Minutes document for Content Access Policy & Technology (CAPT) dated 2013-12-17.,7e69d971bbb2f975504f18f37bf97b4315282ee72a1f923390b1f8dde0e0da28,capt_minutes_2013_12_17.docx
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2012-08-22,Content Access Policy & Technology (CAPT)_Minutes_2012-08-22.docx,2012-08-22,DOCX,Minutes,Minutes document for Content Access Policy & Technology (CAPT) dated 2012-08-22.,81755c3a5e49c634bf0ce63b8f53b30ca2f1aea7c5e27a952c5ac5c61a2167d1,capt_agenda_minutes_2012_08_22.docx
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2013-08-27,Content Access Policy & Technology (CAPT)_Minutes_2013-08-27.docx,2013-08-27,DOCX,Minutes,Minutes document for Content Access Policy & Technology (CAPT) dated 2013-08-27.,7c29beeee00073553e5d87b9828b3b361dfca2d73730d87eaa5eb6a24bda7a73,capt_minutes_2013_08_27.docx
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2014-04-28,Content Access Policy & Technology (CAPT)_Minutes_2014-04-28.docx,2014-04-28,DOCX,Minutes,Minutes document for Content Access Policy & Technology (CAPT) dated 2014-04-28.,1f7225fd3e071511c006de8760c9454c051a7027a465f4cfa23ef7e741f42355,capt_minutes_2014_04_28.docx
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2012-12-19,Content Access Policy & Technology (CAPT)_Minutes_2012-12-19.docx,2012-12-19,DOCX,Minutes,Minutes document for Content Access Policy & Technology (CAPT) dated 2012-12-19.,aa47f936858ee1a62cb0db540724bbfed2135eebc853dcf5d6acc543aa4014f1,capt_minutes_2012_12_19.docx
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2013-04-30_1,Content Access Policy & Technology (CAPT)_Minutes_2013-04-30_1.docx,unknown,DOCX,Minutes,Minutes document for Content Access Policy & Technology (CAPT).,72266111093e5112d19cd3cb4edf7236a5b4a809352aaf5f0e0612134e802050,Content Access Policy & Technology (CAPT)_Minutes_2013-04-30_1.docx
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2018-03-29,Content Access Policy & Technology (CAPT)_Minutes_2018-03-29.pdf,2018-03-29,PDF,Minutes,Minutes document for Content Access Policy & Technology (CAPT) dated 2018-03-29.,d99863c8d164c0d21f0682a322f1899fab33a84bcb23d778df765aefdc71689f,2018-March-29-CAPT-Minutes.pdf
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2018-01-15,Content Access Policy & Technology (CAPT)_Minutes_2018-01-15.pdf,2018-01-15,PDF,Minutes,Minutes document for Content Access Policy & Technology (CAPT) dated 2018-01-15.,1003cd9a30288e592716d91391f15c43a4c3e10f5163e601d9b6d53bd1f7d340,2018-January-CAPT-Minutes.pdf
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2019-05-28,Content Access Policy & Technology (CAPT)_Minutes_2019-05-28.docx,2019-05-28,DOCX,Minutes,Minutes document for Content Access Policy & Technology (CAPT) dated 2019-05-28.,63336ae5b9274f7c27b5a299e41e438f7d1f81fafa109e48e33602d6568de524,Capt_minutes_2019_05_28.docx
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2019-10-31,Content Access Policy & Technology (CAPT)_Minutes_2019-10-31.docx,2019-10-31,DOCX,Minutes,Minutes document for Content Access Policy & Technology (CAPT) dated 2019-10-31.,c8f5e521d3a493bdbc9328a45ab31fd306fa38629b6aebd6fcfee7a371521c53,Capt_minutes_2019_10_31.docx
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2018-07-26,Content Access Policy & Technology (CAPT)_Minutes_2018-07-26.pdf,2018-07-26,PDF,Minutes,Minutes document for Content Access Policy & Technology (CAPT) dated 2018-07-26.,2a9fca07bd3c5770c543881727139e80ee213cbe63b016b9f0b68b06fbaa420c,Capt_minutes_2018_07_26.pdf
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2013-06-25,Content Access Policy & Technology (CAPT)_Minutes_2013-06-25.docx,2013-06-25,DOCX,Minutes,Minutes document for Content Access Policy & Technology (CAPT) dated 2013-06-25.,28222702ebd70f9b0464d44ef3bf4e45852a1f862caf93f6a8ef256cc0cf44da,capt_agenda_2013_06_25.docx
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2017-01-26,Content Access Policy & Technology (CAPT)_Minutes_2017-01-26.pdf,2017-01-26,PDF,Minutes,Minutes document for Content Access Policy & Technology (CAPT) dated 2017-01-26.,09fb5320593788bf0edd52fdfa806e13836d56ac54ef24fc8c5f7bec963dfd02,Capt_minutes_2017_01_26.pdf
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2019-08-29,Content Access Policy & Technology (CAPT)_Minutes_2019-08-29.docx,2019-08-29,DOCX,Minutes,Minutes document for Content Access Policy & Technology (CAPT) dated 2019-08-29.,750f04b770754f3cd5a9a69cfcf87ea607bba95f4385a9aa9e395192f0da7575,Capt_minutes_2019_08_29.docx
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2014-09-25,Content Access Policy & Technology (CAPT)_Minutes_2014-09-25.docx,2014-09-25,DOCX,Minutes,Minutes document for Content Access Policy & Technology (CAPT) dated 2014-09-25.,9beed6a0418d0967763674ea7fdaaa9d4f1b045f106b9559a73fc82dfab5c8f7,CAPT_MINUTES_2014_09_25.docx
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2013-10-29,Content Access Policy & Technology (CAPT)_Minutes_2013-10-29.docx,2013-10-29,DOCX,Minutes,Minutes document for Content Access Policy & Technology (CAPT) dated 2013-10-29.,ab8cc03f8b045f69e5df0ad125064644cd9889c6745ebdbd10c1bbfd1ac16ced,capt_minutes_2013_10_29.docx
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2016-05-31,Content Access Policy & Technology (CAPT)_Minutes_2016-05-31.pdf,2016-05-31,PDF,Minutes,Minutes document for Content Access Policy & Technology (CAPT) dated 2016-05-31.,4fab2097f3107dc8ef4de78cd784444c2f23496699415d5a809b19fcbb5a2f7c,Capt_minutes_2016_05_31.pdf
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2014-03-04,Content Access Policy & Technology (CAPT)_Minutes_2014-03-04.docx,2014-03-04,DOCX,Minutes,Minutes document for Content Access Policy & Technology (CAPT) dated 2014-03-04.,cbfef46f603eb5d342b3eb208520034dc08cc4a5148f85a52d9b5651680a4e13,capt_minutes_2014_03_04.docx
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2013-04-30,Content Access Policy & Technology (CAPT)_Minutes_2013-04-30.docx,2013-04-30,DOCX,Minutes,Minutes document for Content Access Policy & Technology (CAPT) dated 2013-04-30.,72266111093e5112d19cd3cb4edf7236a5b4a809352aaf5f0e0612134e802050,capt_agenda_minutes_2013_04_30 (1).docx
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2014-12-04,Content Access Policy & Technology (CAPT)_Minutes_2014-12-04.docx,2014-12-04,DOCX,Minutes,Minutes document for Content Access Policy & Technology (CAPT) dated 2014-12-04.,be54098c9fcb9aa055c82edf67e8dc4740aacdba9af0769511c41e3a69fab428,capt_minutes_2014_12_04.docx
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2013-01-29,Content Access Policy & Technology (CAPT)_Minutes_2013-01-29.docx,2013-01-29,DOCX,Minutes,Minutes document for Content Access Policy & Technology (CAPT) dated 2013-01-29.,cb7cfa317ae63f2502193f7b133c3267d9eb4bcb5512bbc6a36a7508768cc575,capt_agenda_minutes_2013_01_29.docx
