:START_ID(Document),:END_ID(Organization),:TYPE
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-09-17,Student Life Archives,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-09-17,University,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-07-29,ARC,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-07-29,Archives,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-07-29,Collections,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-07-29,Consultants,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-07-29,Division,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-07-29,Programming,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-07-29,Records Center,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-07-29,SAA,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-07-29,Special Collections,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-07-29,University Archives,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-07-29,Wendy,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-07-29,the Logistics & Operations,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-07-29,the Main Library Building Project,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-06-13,Special Collections,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-07-15,Aeon,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-07-15,Archives,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-07-15,Division,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-07-15,Review of Collection Development Policies,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-07-15,SAA,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-07-15,Special Collections,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-07-15,The University Archives,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-07-15,the Special Collections Division,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-07-15,the University Archives,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-10-10,Archives,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-10-10,Division,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-10-10,Hort,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-10-10,JLK,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-10-10,LCWG,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-10-10,NSF,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-10-10,UGL,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-10-10,University Archives,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-10-29,ARC,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-10-29,Alumni Newspaper,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-10-29,UA,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-10-29,UGL,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-05-30,ARC,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-05-30,Special Collections,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-09-04,Contents,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-09-04,FAQ,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-09-04,Facility Managers,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-09-04,LCWG,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-09-04,Special Collections,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-09-04,Technology Services,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-09-04,UGL,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-09-04,the Image Permanence Institute,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-08-14,ADA,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-08-14,ARC,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-08-14,ASCRC,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-08-14,Adjacency Task 2,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-08-14,Archives,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-08-14,Archives Research Center,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-08-14,Archives Special Collections Research Center,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-08-14,Archives and Special Collections Research Center,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-08-14,Card Sorting,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-08-14,Delete Student Life and Culture,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-08-14,Description of Project,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-08-14,Groups,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-08-14,HFL,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-08-14,Main,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-08-14,Page 2,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-08-14,Preservation,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-08-14,SCRC Sub,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-08-14,Special Collections Research Center,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-08-14,Special Collections Research Center Working Group,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-08-14,University Archives,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-08-14,Vault,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-08-14,the First Floor Plan,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-08-14,the Library Advancement,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-08-14,the Main Library Building Project,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-08-14,the Special Collections Division,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-08-14,the Staff Workstations,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-06-27,ALA,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-06-27,Archives,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-06-27,Main,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-06-27,Mediated,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-06-27,Special Collections,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-06-27,Special Collections Research Center,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-06-27,UGL,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-06-27,University Archives,MENTIONS
Graduate Student Survey Working Group__Minutes__Graduate Student Survey Working Group_Minutes_2014-12-12,Associate University,MENTIONS
Graduate Student Survey Working Group__Minutes__Graduate Student Survey Working Group_Minutes_2014-12-12,GEO,MENTIONS
Graduate Student Survey Working Group__Minutes__Graduate Student Survey Working Group_Minutes_2014-12-12,GradLinks,MENTIONS
Graduate Student Survey Working Group__Minutes__Graduate Student Survey Working Group_Minutes_2014-12-12,Graduate College Engagement,MENTIONS
Graduate Student Survey Working Group__Minutes__Graduate Student Survey Working Group_Minutes_2014-12-12,Graduate Student Survey,MENTIONS
Graduate Student Survey Working Group__Minutes__Graduate Student Survey Working Group_Minutes_2014-12-12,Graduate Student Survey Working Group,MENTIONS
Graduate Student Survey Working Group__Minutes__Graduate Student Survey Working Group_Minutes_2014-12-12,Group,MENTIONS
Graduate Student Survey Working Group__Minutes__Graduate Student Survey Working Group_Minutes_2014-12-12,IPS,MENTIONS
Graduate Student Survey Working Group__Minutes__Graduate Student Survey Working Group_Minutes_2014-12-12,International Programs,MENTIONS
Graduate Student Survey Working Group__Minutes__Graduate Student Survey Working Group_Minutes_2014-12-12,Ithaka,MENTIONS
Graduate Student Survey Working Group__Minutes__Graduate Student Survey Working Group_Minutes_2014-12-12,Jen Collection Development,MENTIONS
Graduate Student Survey Working Group__Minutes__Graduate Student Survey Working Group_Minutes_2014-12-12,Lisa,MENTIONS
Graduate Student Survey Working Group__Minutes__Graduate Student Survey Working Group_Minutes_2014-12-12,Research Practices,MENTIONS
Graduate Student Survey Working Group__Minutes__Graduate Student Survey Working Group_Minutes_2014-12-12,Survey Review,MENTIONS
Graduate Student Survey Working Group__Minutes__Graduate Student Survey Working Group_Minutes_2014-12-12,Timeline Lisa,MENTIONS
Graduate Student Survey Working Group__Minutes__Graduate Student Survey Working Group_Minutes_2014-12-12,UIUC,MENTIONS
Graduate Student Survey Working Group__Minutes__Graduate Student Survey Working Group_Minutes_2014-12-12,the Graduate College,MENTIONS
Graduate Student Survey Working Group__Minutes__Graduate Student Survey Working Group_Minutes_2014-12-12,the Library Assessment Committee,MENTIONS
Graduate Student Survey Working Group__Minutes__Graduate Student Survey Working Group_Minutes_2014-12-12,the User Education Committee,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-05-23,Diversity Residency Advisory Committee,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-05-23,Jake/Zoe,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-05-23,Search Update Phone,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-05-23,the Office of Minority Affairs,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-08-01,Diversity Residency Advisory Committee,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-08-01,EC,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-08-01,GA,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-08-01,the Savvy Research,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-12-07,Cookie swap & Annual Report,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-12-07,Diversity Residency Advisory Committee,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-12-07,EDI,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-12-07,GA,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-12-07,Workshop,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-06-20_1,Diversity Residency Advisory Committee,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-08-31,Diversity Residency Advisory Committee,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-08-31,PMC,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-02-01,Boundary Setting,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-02-01,Diversity Residency Advisory Committee,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-02-01,Evie Cordell &,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-02-01,Sarah Christensen & Janis Shearer,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-02-01,Spring Semester,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-07-18,Diversity Residency Advisory Committee,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-07-18,ELL,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-07-18,Grainger,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-07-18,Jake and Zoe,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-07-18,Main,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-07-18,OER,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-07-18,Preservation,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-10-26,BIPOC,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-10-26,Diversity Residency Advisory Committee,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-10-26,the Peer Mentoring Committee,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-01-10,Group,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-01-10,LIS,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-01-10,UIUC,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-01-10,Webform,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-01-10,iSchool,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-03-14,Diversity Residency Advisory Committee,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-03-14,EC,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-03-14,Heather,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-03-14,Search Update,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-11-09,Diversity Residency Advisory Committee,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-06-20,Connecting w/ Unit Supervisors,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-06-20,Diversity Residency Advisory Committee,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-04-11,BIPOC,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-04-11,DEIA,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-04-11,Diversity Alliance’s,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-04-11,Diversity Residency Advisory Committee,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-04-11,EC,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-04-11,Professional Development Clara,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-02-14,Diversity Residency Advisory Committee,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-02-14,EC,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-02-14,Next,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-02-14,RIS,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-02-14,The College of Education,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-09-14,BIPOC,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-09-14,Diversity Residency Advisory Committee,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-09-14,RAC,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-09-14,RAC Social,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-03-28_1,Belinda Bollivar,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-03-28_1,DEIA,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-03-28_1,Diversity Residency Advisory Committee,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-03-28_1,EC,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-03-28_1,Search Committee Updates,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-03-28,Belinda Bollivar,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-03-28,DEIA,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-03-28,Diversity Residency Advisory Committee,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-03-28,EC,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-03-28,Search Committee Updates,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-12-07_1,Cookie swap & Annual Report,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-12-07_1,Diversity Residency Advisory Committee,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-12-07_1,EDI,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-12-07_1,GA,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-12-07_1,Workshop,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-02-24,BIPOC,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-02-24,Diversity Residency Advisory Committee,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-02-24,GELIC,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-02-24,Group,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-02-24,IAS,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-02-24,OER,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-02-24,Ricker,MENTIONS
Academic Professional Promotion Implementation Team__Minutes__Academic Professional Promotion Implementation Team_Minutes_2017-02-17,AP,MENTIONS
Academic Professional Promotion Implementation Team__Minutes__Academic Professional Promotion Implementation Team_Minutes_2017-02-17,AP Promotion Criteria Comparison,MENTIONS
Academic Professional Promotion Implementation Team__Minutes__Academic Professional Promotion Implementation Team_Minutes_2017-02-17,APPIT,MENTIONS
