name:ID(Organization),mentionCount:int
AP Field Trips,1
AP Forum,8
AP Forum Updates,1
AP Forum: Conversation,1
AP Investigation Time Survey Report,2
"AP Networking  
Interested",1
AP Open Sessions,1
AP Patron Services,4
AP Professional Development Fund,1
AP Promotion,8
"AP Promotion
Criteria Comparison",1
AP Promotion / Review,1
AP Promotion Criteria,1
"AP Promotion Criteria - Comparison
AP Promotion Criteria: Comparison",1
AP Promotion Implementation Team,1
AP Promotion Peer Review Advisory Committee,1
"AP Promotion Process Overview
AP Promotion Process Overview
7",1
AP Promotion Program,2
"AP Promotion Program
Inventory &",1
AP Promotion Program Survey,1
AP Promotion Program Update,1
AP Promotion Review Committee,1
AP Promotion Task Force,1
AP Promotion committee,1
AP Promotional,2
AP Promotional Path,2
"AP Promotional Path
• Having",1
AP Promotional Path Implementation Information,1
AP Promotional Process Updates,1
AP Promotional Program,1
AP Promotional Review,1
AP Promotions,2
AP Proposals,1
AP Questions,1
AP Research Survey Report,2
AP Resources Page,15
"AP Resources Page
Find",1
"AP Resources Page
Maintained",1
"AP Retreat
d. Jen",1
"AP Retreat Suggestions
Retreat",1
AP Review Committee,1
AP Survey on Investigation,2
AP Task Force,1
AP Update,1
AP Visiting Conservator,1
AP-Promotion Criteria-Comparison.2,1
AP/CS-Ps,1
AP/Civil Service,2
APC,3
API,12
APLU,1
APPIT,21
APPRPAC,1
APS,3
ARC,6
ARL,63
ARL Board,1
ARL Digital Scholarship Institute,1
ARL Directors,2
ARL Fellow,1
ARL Library Impact Framework,2
"ARL Preservation
Statistics",1
ARL Salary Survey,3
ARL Statistics,1
ARX,1
ASAP,6
ASCRC,1
ASK,1
ASU,2
ASpace,1
ATG,1
ATLAS,1
AUL,139
"AUL Annual Reporting/Evaluation
The AULS",1
"AUL Annual Reporting/Evaluations
EC",1
AUL Discussion,1
AUL Evaluations,2
AUL Organizational Structure,1
AUL Process: Things,2
AUL Prompt: SOAR,1
AUL Report,1
AUL Review Update,1
AUL Updates,1
AUL for Academic Affairs,1
AUL for Collections & Technical Services,1
AUL for Information Technology Planning,1
AUL for Research,3
AUL for Services,4
"AUL for Services, Coordinator Information Literacy",1
AUL for User Services,1
"AUL for User Services Position
The User Services Leadership Team",1
AUL/Dean,3
AUL/EC,1
AULS,6
AUL’s,2
AUL’s Search Process Discussion,1
AV,3
AV Media,1
AWS,1
AWStats,1
AZ,2
Abstracting & Indexing,1
Abu Dhabi,1
"Academic
Human Resources",1
Academic Affairs,1
Academic Affairs (University Administration,1
Academic Affairs Office,1
Academic Affairs/Web Privacy Notice,3
Academic Hourly,3
Academic Human Resources,8
"Academic Human Resources
iii",1
Academic Libraries,1
Academic Profession,1
Academic Professional,9
Academic Professional (AP,4
Academic Professional Development Fund,8
"Academic Professional Development Fund
Applications",1
"Academic Professional Development Fund
•",1
"Academic Professional Development Fund
• For",1
Academic Professional Promotion Implementation Team,5
"Academic Professional Promotion Implementation Team
02/17/2017",1
"Academic Professional Promotion Implementation Team
02/17/2017

Agenda

Review Charge & Timeline
Framework for Review
Process for Assigning Rank",1
"Academic Professional Promotion Implementation Team
05/10/2017",1
"Academic Professional Promotion Implementation Team
06/15/2017",1
Academic Professional Promotion Implementation Team’s,2
Academic Professional and Civil Service,1
Academic Professional and Civil Service Professional,1
Academic Professional and Faculty,2
Academic Professional to Civil Service Professional,1
Academic Professionals,11
"Academic Professionals

Annual Evaluations
Investigation",1
Academic Professionals and Library Operations Associates,1
"Academic Professionals, Administrators",1
"Academic Professionals, Civil Service",1
Academic Program Review,1
Academic Program Review External Reviewers,1
Academic Search,1
Academic Search Coordinator,1
Academic and Research Libraries,1
Access,1
"Access 2003 Managing Public Access Computing
Excel 2003",1
Access Board,1
Access Task Force,1
Access Task Force ReportThree,1
Access Work Group,1
Access to Social Media,1
Access-Bill Ingram,4
Access-Helenmary Sheridan,3
"Access; Circulation,",2
Accessibility Advisory Group,3
"Accessibility Advisory Group
01/17/2018",1
"Accessibility Advisory Group
06/14/2018",2
Accessibility and Assistive Technology,1
Accessibility/Disability,1
Acclamations & Accolades,3
"Acclamations & Accolades
Lisa",1
"Acclamations & Accolades
Mara",1
"Acclamations & Accolades
Susan",1
"Acclamations, Accolades",3
"Acclamations, Accolades, Announcements",1
"Accolades

Forthcoming DEIA Committee",1
"Accolades
Congratulations",1
"Accolades
Emma",1
"Accolades
Team Updates 
Assessment Team",3
"Accolades
Victor",1
"Accolades
Victor - Victor",1
Acquisitions,13
"Acquisitions
Priorities",1
Acquisitions &,1
Acquisitions & Cataloging Services,2
Acquisitions Priorities Task Force,1
Acquisitions Unit,1
Acquisitions Update,3
"Acquisitions Update
- Lynn Wiley",1
Acquisitions and Cataloging Services,3
Acquisitions and Collections,1
"Acquisitions and Technical Services Division
• Marcus Keller",1
"Acquisitions, Cataloging, Fulfillment",1
"Acquisitions, Resource Management (Cataloging",1
Acquisitions/CAM,1
Acquisitions/SFX,1
Act,1
Acting Chair,1
Acting University,1
Active Directory,2
Activities,1
Additional Reviewers,1
Adjacency				Task 2,1
Adjunct Faculty,1
Admin Council,1
Administration,9
Administration Services,1
Administrative,3
"Administrative
Council",1
Administrative Affairs,1
Administrative Council,159
"Administrative Council
02/15/2016",1
"Administrative Council
02/17/2014",2
"Administrative Council
02/18/2013",2
"Administrative Council
03/15/2010",2
"Administrative Council
03/16/2009",1
"Administrative Council
03/17/2008",2
"Administrative Council
03/19/2007",2
"Administrative Council
03/19/2012",2
"Administrative Council
04/16/2012",2
"Administrative Council
04/16/2018",1
"Administrative Council
04/18/2016",1
"Administrative Council
04/19/2010",2
"Administrative Council
04/21/2008",2
"Administrative Council
05/17/2010",2
"Administrative Council
05/18/2009",2
"Administrative Council
05/19/2008",2
"Administrative Council
05/21/2007",1
"Administrative Council
06/20/2005",2
"Administrative Council
06/20/2011",2
"Administrative Council
06/20/2016",2
"Administrative Council
06/21/2010",2
"Administrative Council
07/16/2007",2
"Administrative Council
07/19/2010",1
"Administrative Council
07/21/2008",1
"Administrative Council
08/16/2010",2
"Administrative Council
08/17/2009",3
"Administrative Council
08/18/2014",2
"Administrative Council
08/20/2007",2
"Administrative Council
08/20/2012",2
"Administrative Council
08/21/2017",2
"Administrative Council
09/15/2008",2
"Administrative Council
09/15/2014",2
"Administrative Council
09/18/2006",1
"Administrative Council
09/18/2017",2
"Administrative Council
09/20/2010",2
"Administrative Council
09/21/2009",2
"Administrative Council
10/15/2018",1
"Administrative Council
10/20/2008",2
"Administrative Council
11/16/2015",2
"Administrative Council
11/17/2008",2
"Administrative Council
11/20/2006",2
"Administrative Council
11/21/2005",2
"Administrative Council
12/17/2012",2
"Administrative Council
MM/DD/YYY",1
"Administrative Council
Office of Library Facilities
Collection Distribution - Proposal",1
"Administrative Council
Time and Location of Meeting",43
"Administrative Council 
09/18/2006",1
Administrative Council (AC,1
Administrative Council Liaison,1
Administrative Council Report,2
Administrative Council and Collection Development Committee,1
Administrative Council or Executive Committee,1
"Administrative Council, Collection Development Committee",1
Administrative Council:Cristina Kuhn,1
Administrative Councils,1
Administrative Services,15
"Administrative Services
-1",2
Administrative Services / BHRSC,1
Administrative Services/BHRSC,2
Administrative Services/Business & Human Resources Service Center,1
Administrative Services—Human Resources,1
Administrative Space – Walter,1
Admissions,1
Adobe,2
Adobe Flash,1
Adriana,4
Advanced Collaborative Support,1
Advanced Composition,6
Advanced Legal Research,1
Advanced Search,1
"Advanced Technologies
Group",1
Advanced Technologies Group,1
Advanced Technologies Working Group,1
Advancement,16
"Advancement
Administration
Facilities
Library Information Technology
University",1
"Advancement
Associate University Librarians",1
Advancement (Tom & Lynn,1
Advancement Board,1
Advancement Office Update,1
Advancement Operations,1
Advancement Stewardship,2
Advancement Update,2
Advancement for Publications and Public Affairs,1
Advancement for Stewardship and Donor Relations,1
"Advancement, Business",1
"Advancement, Facilities and Budget",1
Advancement’s,1
Advisory,1
Advisory Bodies,1
Advisory Committee,5
Advisory Group,1
Aeon,5
"Aeon Special Collections Management System Implementation
Overall",2
African American Studies,2
Afro-Am,1
Afro-Americana,2
"Agenda

AC",1
"Agenda

Committee",1
"Agenda

Community Agreement
Listen Actively",2
"Agenda

Faculty Union FAQ",1
"Agenda

First Community of Practice",1
"Agenda

Illinois Research Connections",1
"Agenda

Review",1
"Agenda
2.Review",1
"Agenda
Community Agreement
Listen Actively",1
Agenda Committee,1
"Agricultural & Consumer Economics, Animal Sciences",1
Agricultural Communications Documentation Center,1
Agricultural Economics,1
Air,1
"Air Watch
Documentation",2
AirPlay,1
Alex Scheeline,1
"Alex, Peg and Kelli",2
Alexander Street Press,1
Alexander Street Video,1
"Alisha 

Guest",1
Alistair Black,2
All Departmental Libraries,1
All Library Monthly Gathering,1
All-Library Retreat,2
Allen & FAR Libraries,1
AllenOne Division,2
Alliance,1
Allsteel,1
Alma,1
Alma (Backend,1
Alma Analytics,3
"Alma Analytics 
Access",1
Alma Backend,1
Alma Mater,1
Alma/Primo,5
Alma/Primo Information,1
Alma/Primo Migration,1
Alma/Primo VE,1
Alma/Primo Vanguard Workshop,1
Alumni Access,1
Alumni Newspaper,1
Alvan,3
Amara,1
Amari,1
Amazon,11
Amazon Web Services,3
Amazon.com,1
Amazon’s Search Inside the Book,1
"American
Library Association",1
American Chemical Science,1
"American Doctoral Dissertation
Anthropology Plus
Art & Architecture Source
Arts & Humanities",1
American History,1
American Legion,1
American Library Association,2
American Library Association Conference,1
American Library Association Conference Scholarships,1
American Music,1
"American Music
Map & Geography Library",1
American Music month,1
American Studies,1
American Studies Program,1
American Universities,1
Amicus,1
Amira,1
Amplifies,1
An Aeon Team,3
An Implementation Group,1
Analytics > UIUC Community,1
Ancestry.com,1
Android,2
Aneitre,2
Angie,12
Annette,1
AnnouncementThe Provost,1
Announcements,41
"Announcements
Cherié Weible",1
"Announcements
Diversity Committee",1
"Announcements
Free International Travel Insurance for Staff",1
"Announcements
Illinois Information Literacy Summit
The",1
"Announcements
Research and",1
"Announcements
Scott",1
"Announcements
Tina",1
"Announcements
Upcoming Event",1
"Announcements 
Diversity Leadership Council Meeting",1
Announcements & UpdatesThere,1
Announcements-KaufmanBob Burger,2
"Announcements/Closing Comments
Lisa",1
"Announcements/Discussion
Eat",1
"Announcements/Discussion
Melody",1
"Announcements/Discussion
Merinda",2
Announcements/Open Discussion,4
"Announcements/Open Discussion
Discussion: Ask",1
"Announcements/Open Discussion
Greg",1
"Announcements/Open Discussion
Meeting",1
"Announcements/Open Discussion
Susan",1
Announcements/Updates,1
Announcements/UpdatesWard,1
AnnouncementsAt ARL,2
AnnouncementsHow,1
AnnouncementsKaufman,3
AnnouncementsKruger,1
AnnouncementsLyn Jones,1
AnnouncementsMary Schlembach,1
AnnouncementsRon,1
"Announcing New Faculty, Sabbatical Coverage Announcements",1
"Announcing New Faculty, Sabbatical Coverage Announcements-Kaufman
Outcome: Responsibilities",1
"Annual Faculty
Review",1
Annual Report Analysis Discussion,2
Annual Report Clinic,1
"Annual Reports
Walter",1
Annual Review,2
Annual Review of Academic Professional Employees,1
Annual Review of Directors,2
"Another New Campus Power Plant Service
Library IT",2
"Anti-Oppression Workshops 
It",1
Any Library Civil Service,1
App,1
Appeals,1
Apple,1
Apple Certified,1
Apple TV,1
Apple iPad Air,1
Applicant,2
Applied Arts,1
Applied Health Sciences,5
Applied Life,2
Applied Life Studies,1
"Applied Life Studies, Biology, Biotechnology, Chemistry",1
Applied Science and Technology,1
Appoint,4
Appoint External Reviewers,1
Appoint Faculty Editors,1
Appoint Internal Reviewers,4
"Appoint Library Building Programming Group
Pre-Tenure Track Working Group Discussion
Regular",1
Appoint Sabbatical PRC Replacement,1
Appointments of Faculty and Academic Professionals,1
"Appointments-Final
Deferred",1
"Appointments-Final
 
Deferred",1
Appropriate,1
Approved Organizational Development,2
Approved Search Committee,1
Aps/Civil Service,1
Aquifer,1
Arabella,7
Arabella Advisors,4
Arabella Associates,2
Archie Bongiovanni (Comics Artist,1
Archie Dick on Township,1
Archie and Lots,1
Architectural,4
Architecture,1
Architecture & Art,4
Archival Operations and Specialists,1
Archive,4
Archive Scanning Center Project,1
Archives,40
Archives & Literary Manuscript Specialist,1
Archives Reference & Accessioning Specialist,1
Archives Research Center,2
Archives Research Mail Option Residence Hall,1
Archives Special Collections Research Center,1
Archives and Records Management,1
Archives and Special Collections Research Center,1
Archives/Oak Street,1
Archives/Special Collections,1
Archives/Website Privacy Notice,1
ArchivesSpace,3
Archivist’s Toolkit,1
Archon,2
Archtectural,1
Are List of Accomplishments Every,1
Are Lists of Accomplishments Every,1
"Area
Studies Division",1
Area Studies,15
Area Studies Division,3
Area Studies Divisions,1
Area Studies Divisions (Ingold,1
Area Studies and,1
"Area Studies, Business",1
"Area Studies, Social Sciences",1
Area Studies/Mortensen Center and Special Collections,1
Ariana,2
Ariana Traill,1
Arizona State University,1
Armed Service,1
Armory,1
Arms Control & Domestic and,1
Art & Architecture,5
Art & Humanities Division,1
Art Coop,1
Art and Architecture,1
"Art, Biology, Chemistry",1
Articulates,1
Arts,10
Arts & Humanities,26
Arts & Humanities Division,6
Arts & Humanities Vision,1
Arts and Humanities Division on FRC,1
"Asian American Cultural
Center",1
Asian Education Media Service,1
Ask Facilities,1
Assess,9
Assess & Connect Assessment Forum,2
Assessment,1
Assessment Committee’s,1
Assessment Coordinator,2
Assessment Coordinators,1
Assessment Data,1
Assessment Professional Development Funding,1
Assessment Team,5
"Assessment Team 
George",1
Assessment of Instruction/Information Literacy Competencies,2
"Assigned Primary/Secondary Reviewers
Developing a Rubric
Vitae Request",1
Assistance Grievance Office,1
Associate,3
Associate Archives,5
Associate Professors,2
Associate University,16
"Associate University
Librarians",2
Associate University Librarian for Services,1
Associate University Librarians,6
Associate University Librarians Update,1
Associates,15
Associates 2014,1
Associates Program,2
Association,1
Association University,1
Association of American Universities,1
Asst,1
Asylum Seekers and Refugees,1
Atlas/Aeon Collections,3
Attempt,1
Attendee,1
Attendees,140
"Attendees
Ellen,",1
Attending AC,1
Auburn University,1
Audacity,1
Authority,2
Authority Control,1
Aux Amateurs,1
Auxiliary Services,6
"Available Titles & Promotional Path
Appointment",1
"Available Titles & Promotional Path
Appointment
Primarily",1
Avery,5
Avner,3
Avner Endowed ProfessorshipAn,1
Avner Professorship,1
"Award
Scott Walter",1
Award Recognition Task Force,2
Awards,5
Awards & Recognition Committee,1
Awards Committee,1
Ayers,1
B & C,1
B. Acquisitions Update,1
B. Backfile,1
B. Beyond,1
"B. Data Repositories
IV",1
B. Ebook Package Deals,1
"B. FY10 Budget Information
VI",1
B. Holding,1
B. Materials Budget,1
B. Mischo,1
B. Please,2
B. Recent IMLS,1
B. Research,2
B. Specialized Faculty: Research,1
B. Unit Involvement,1
B. er14 Review Group,1
"B. er14 Review Group
C. Google Digitization",1
"B. er14 Review Group
VI",1
B.  The Executive Committee,1
B/W,1
B18,1
B25,1
BA,3
BACKGROUND,1
BB Collaborate,2
BEAP,3
BEL,4
BG,1
BHRSC,25
BHRSC (Business & Human Resources Service Center,1
BHRSC and Executive Committee,1
BHRSC are Candice,1
BHRSC renews AP,1
BIBFRAME Transformation for Enhanced Discovery,1
BIF,2
BIOLOGY & LIFE SCIENCES,1
BIOLOGY & LIFE SCIENCES INTEGRATED,1
BIPOC,8
BIPOC University,2
BIS,2
BIS Best Bets,1
BOT,11
BOX,1
BSC,1
BSD,1
BTAA,32
"BTAA
c. Civil",1
BTAA California,2
BTAA Center for Library Initiatives,1
"BTAA Collection
BTAA",1
BTAA Critical Pedagogy Group,1
"BTAA Licenses/Items 
SpringerNature",1
BTAA Oxford University Press Ebook Pilot,1
BTAA PS,1
BTAA Public Service,1
BTAA Shared Print Repository,2
BTAA ‘Big Collection’ initiative-,1
BTIL,2
BTIL Grad Hourly,1
BTIL Update,1
BYU,1
"Background
Administrative Council",1
"Background
Discussion of Duties
Nomination/Election",2
Background Past Space Design,1
Banned Books Week,1
Banner,5
Banner Images,1
Banner/Active Directory,1
Bar-Coding,1
Bart,3
Beautiful Music Around Us,1
Beckman Institute – Pilot,1
"Becky, Ruthann",1
Behavioral Sciences Interdisciplinary Working Group,1
Behavioral Sciences Interdisciplinary Working Group Final Report,1
Behavioral Sciences Librarian,1
Behavioral Sciences Research and,1
Belinda Bollivar,2
Bento Clickthroughs,1
Bento Discovery System,1
Best Bets,1
Best Practices,4
Beth Sheehan,1
Bethel AME,1
Betsy Kruger & Stephanie Atkins,1
Bev Curtis,1
Beyond Access,6
BibLeaves,1
Bibliographic Control Specialist,1
Bicycle,1
Big Data,1
Big Data Research,1
Big News,1
Big Ten Academic Alliance,3
Big Ten Academic Alliance Directors,1
Bike,1
Bill & JJ,1
Bill & Melinda Gates Foundation,1
Bill Mischo &,2
Bill Mischo & Grainger,1
"Billing Office Chemistry
Archives",1
Bindery,2
Binding Module Development,1
Biomedical Sciences Librarian,1
Biotech,1
"Biotech, Chemistry",1
Birth of the Nation,1
Biss,2
Black History Month,2
Black Lives,1
Black Student Union,1
Black Studies,1
Black United Front,1
Blackboard Collaborate,7
Blackwell,1
Blackwell Journals,1
Blackwells,1
Blackwell’s,2
"Block, Ingold and",1
Blood Pressure/Glucose Test,1
Blue Wall,1
Blue Waters,1
"Blue Waters Network Cabling
Source",1
"Blue, Orange",2
Board,4
Board of Trustee,1
Board of Trustees,3
Boards,1
Board’s,1
Book Club,1
BookShare,1
Bookeye,1
Booksale,1
Bookstacks,5
"Bookstacks, Discharging",1
Bookstore,1
Boolean Searching,1
Bootcamps/External Training,1
Borders,1
Borrower Information,2
Boston College,1
Boundary Setting,1
Box Working Group,1
"Box, Zoom, Teams",1
Box.com,3
Box/Google,1
Brainstorm/Discussion New Ideas,1
Brainstorm/Review Additional Goals/Projects,1
Brainstorm/Review Possible Goals/Projects,2
Branch,1
Brandi Barnes,1
Branding,2
Braxton,1
Breakfast,2
Breakout Rooms & Report,1
Brevity,1
Brightspot,1
Brightspot Consultants,1
Brightspot Consulting,1
Brightspot Strategies,1
Brill,1
British Literature,1
Brittle Books,3
Brittle Books & Reformatting,1
Brittle Books Program,1
Broad Responsibilities,1
Brooks,1
Brooks Conservator,1
Brown University,2
Brownbag on Janurary 29th,1
Bruce Wicks,3
Bs,2
Budget,59
"Budget
EC",1
"Budget
Facilities
Human",1
Budget & Resource Planning,1
Budget Allocation Update,1
Budget Allocations,1
Budget Crisis (,1
Budget Cut Exercise,2
Budget Discussion – Review,2
Budget Group,32
"Budget Group
•",1
Budget Group +,2
Budget Group Charge Revision,1
Budget Group Plus Summary,1
Budget Group Plus Update,1
Budget GroupMary Stuart,1
Budget Implementation Task Force,3
Budget News,1
Budget Planning,3
Budget Preparations,1
Budget Presentations,1
"Budget Preview
Rod",2
Budget Recap,2
Budget Reduction Planning,1
Budget Reductions,1
Budget Reform Committee,1
Budget Request,1
Budget Review,1
Budget Subcommittee,2
Budget Update,26
"Budget Update
Kaufman",2
Budget Update & Discussions,1
Budget Update & Stresses,1
Budget Update (Kaufman,1
Budget Update Distribution,1
Budget Update-FY08 Review,1
Budget Wrap,1
Budget and Acquisitions Information & Update,1
Budget and Acquisitions Update,1
"Budget and Implementation Team Updates
Allen",2
Budget and Implementation Team Updates-Kaufman,2
Budget and Planning,1
Budget and Resource Planning Vicky Gress,1
Budget/Allocation Discussion,1
Buffer and Pablo (,1
Building,1
"Building Access
Dean Wilkin",1
Building Library Community,3
Building Library Community Committee,3
Building Library Community” Committee,1
Building Project,10
Building Project Notice,1
Building Project Update,2
Building Project Updates,2
"Building Project Updates
Other News",1
Building Projects,1
Building Trust,1
Burger,12
"Burger
Outcome",1
"Burger
Outcome: Decision",2
"Burger
Outcome: Explanation",2
BurgerBob,2
BurgerThe Committee,2
BurgerUnit,1
Busey-Evans,1
Business & Economics,3
Business & Human Resources,2
Business & Human Resources Service Center,1
Business Information Services,2
Business Intelligence (BI,1
Business Library,1
Business Office,5
Business Office Reference Office,1
"Business Office, Systems",1
Business Operations and Management Information,1
Business School,1
Business and Economics,1
"Business and Finance
Employees",1
Business and Financial Policies,1
Business and Human Resources,4
Business and Human Resources Service Center,1
Butler,1
Butler Library,1
Buzzfeed.com,1
Bylaws,7
Bylaws Committee,4
ByrdThe,2
C-U Comics Colloquium,2
C. Collection Development Statements & Descriptions,1
C. Collections Enhancement Allocation,1
C. ETD Pilot,1
"C. Government Documents
VI",2
"C. Patron Initiated Acquisitions Update
III",1
C. Preservation Services,1
C. Preservation Services-No,2
C. SWAT Team,1
C. The Academic Professional,1
C. er14 Review Group,1
"C.  Publicity/Marketing Work
Created",1
C.  The Executive Committee,1
C.     Usability,1
C23W,1
CAFT,2
CALRI’s Pre-Migration Database Maintenance,1
CAM,39
CAM Division,1
CAMELS,17
"CAMELS Team Summary Report
Emergency & Short Notice Coverage
Service",1
CAP,67
CAP Chair,1
CAP Introduction,1
CAP Update,2
CAPT,35
CAPT Committee,3
CAPT Committee Appointments,1
CAPT Review Update-Tom Teper,1
CAPTCHA,1
CAPT’s,2
CARI,2
CARLI,45
CARLI & UI,1
CARLI Board,1
CARLI Counts and CARLI,2
CARLI Office,1
CAS,14
CASTL,1
CBOC,9
CC,6
"CC
Disability Resources and Educational Services,",1
CC BY-SA,1
CCC,1
CCMP,1
CCO,1
CCRC,2
CDC,117
"CDC A&I Review Task Force
Charge",3
CDC Meeting,23
CDC Meeting Notes,3
CDC Membership & Introductions,1
CDC Project Muse,1
"CDC Representatives
• New",1
CDC Streaming Media,1
CDL,5
CDO,1
CENTRAL REFERENCE & GOVERNMENT INFORMATION SERVICES,1
CET,1
CFA,1
CFR,2
CH,1
CIC,68
"CIC
Libraries",1
CIC Assessment Librarians (,1
CIC CDO/ERO Committee,1
CIC Center for Library Initiatives,1
CIC Communications Plan,1
CIC Directors,2
CIC Instructional,1
CIC Libraries,3
CIC Library,1
CIC Library Directors,2
CIC Principles for Implementing the Google Digitization Project,1
CIC Public Services,1
CIC Review Project,1
CIC Shared Print Repository,6
CIC Springer,1
CIC-8,2
CIC-CLI Conference,1
"CIC8, Save America’s",1
CIC’s Shared Print Archive,2
CIO,5
CITES,52
CITES Academic Technology Services,1
CITES EdTech,1
CITES Educational Technologies,2
CITES Express,1
CITES Media Commons,1
CITES Network,1
CITES Security,2
CITI,2
CITL,11
CITL (Center for Innovation in Teaching and Learning,1
CITY PLANNING & LANDSCAPE ARCHITECTURE,1
CJK,1
CL,1
CLACSP,2
CLARIFY,1
CLASP,2
CLC,2
CLIR,2
CLIR Faculty Research Behavior,1
CLOCKSS,1
CLOSED,1
CLOSING OF PHYSICS &,1
CMER,2
CMS,67
CMS Implementation (Mischo,1
CMS Update,2
CMX,2
CNI,4
COB,1
COD,15
COD Discussion – Budget,1
CODSULI,3
COLC,1
COLLECTION DEVELOPMENT AND STEWARDSHIP: Special,1
CONTENT,1
"CONTRACTS
University",2
COTS,1
COUNTER,2
COUTTS,1
COVID,3
COVID-19,11
"COVID-19
Group 1",1
"COVID-19 

HathiTrust Digital Library
Overview",1
COVID-19 Library Response Infographic/Factoid,2
COVID-19 Library Response Infographics,1
CPC,1
CPL,3
CPLA,2
CPLA Archive,1
CPLA REFERENCE & RESOURCE CENTER,1
CPR,1
CPS,37
CPS DC,1
CPS Division,5
CPS Statement on Learning Spaces,1
CQ Voting & Elections,1
CQIT,1
CRAWG,1
CRC,1
CRL,15
CS,15
"CS
Policy & Rules",1
"CS 498 Special Topics Course
VR",3
CS Exempt,1
CS Open,1
CS Pro,1
CS Professionals,2
CS Pros,2
CS rep.,1
CS-P,6
"CS-P
L-CAP Update",1
"CS-P
The",1
CS-P Update,1
"CS-P.
Talk",1
CS-P. Also,1
CS-Professional,2
CS-Professionals,2
CS-Pros,1
CS-Ps,11
"CS-Ps
Susan",1
"CS-Ps
The Library Research and",1
CS-Tradition,1
CS/AP,1
CSA,3
CSP,4
CSP Forum,1
CSS,1
CTE,1
CU,2
CV,2
Cabinet,25
"Cabinet
Zoe",1
Cabinet/EC/LCAP/AC/LSSC,1
Cahokia Mounds,2
Cait Coker,4
Calculating Devaluation,1
Calculating the percent,1
Call Number Range Location,1
Call for Input,1
Call for Library Committee,1
Call for Library committee,1
Call for New Service Models,1
Cambridge University Press,2
Cameroon,2
Camilla Fulton,1
Campus,5
Campus Administration,1
Campus Budget Oversight Committee Request,1
Campus Budgeting Reform Steering Committee,1
Campus Central Mail,1
Campus Code Compliance,1
Campus Community,1
Campus Disaster Response Contract,1
Campus F&S,2
Campus Group,1
Campus Information Technologies and Educational Services,1
Campus Information Technology,1
Campus Libraries,1
Campus Library Building Committee,1
Campus Mail,1
Campus Media Census,1
"Campus Media Census
o Service",1
Campus Micro-Aggression Events,1
Campus News,1
Campus Open House,1
"Campus Open House
Paper Survey Responses",1
Campus Planning,1
Campus Police,2
Campus Police Dispatch,1
Campus Power Plant Integration,5
Campus Research Administrators Working Group,1
Campus Research Board,1
Campus Research Board’s Scholars’ Travel Fund,1
Campus Review of Academic Professional Positions,1
Campus Risk Management,1
Campus Security Authorities,2
